restaurant_id,restaurant_name,City,primary_cuisine,price_level,rating,num_reviews,ranking,popularity_score,avg_city_pressure,peak_city_pressure
d6898769,Restaurante Garphus,Lisbon,European,1.0,3.0,89.0,3559.0,0.35154568382804,71.93915752520559,97.65516301344215
d3223832,el gordo,Lisbon,Spanish,1.0,2.5,111.0,3560.0,0.3238405368139441,71.93915752520559,97.65516301344215
d8609101,Chez Nino,Lisbon,Unknown,1.0,3.0,12.0,3561.0,0.2648851244083443,71.93915752520559,97.65516301344215
d1908978,Txakoli,Lisbon,Spanish,1.0,3.0,4.0,3562.0,0.22208867221327236,71.93915752520559,97.65516301344215
d5608403,grande mundo,Lisbon,Chinese,1.0,2.5,24.0,3563.0,0.256673807740218,71.93915752520559,97.65516301344215
d5981414,Restaurante Marisqueira Chinesa Lon Xiang,Lisbon,Unknown,1.0,2.5,2.0,3564.0,0.16170924194725445,71.93915752520559,97.65516301344215
d7626250,Taberna de Petiscos,Lisbon,European,1.0,3.0,25.0,3565.0,0.2959304180973321,71.93915752520559,97.65516301344215
d2637276,Grelhador de Alfama,Lisbon,Barbecue,1.0,3.0,222.0,3566.0,0.3921853845589743,71.93915752520559,97.65516301344215
d12243681,TACHO - Petiscaria & Bar,Lisbon,Unknown,1.0,2.5,15.0,3567.0,0.23668494791283357,71.93915752520559,97.65516301344215
d8357769,Restaurante Sabe Bem,Lisbon,Unknown,1.0,3.0,5.0,3568.0,0.23025453579526306,71.93915752520559,97.65516301344215
d10108774,A Grelha do Manel,Lisbon,Unknown,1.0,2.5,2.0,3569.0,0.16170912399021292,71.93915752520559,97.65516301344215
d8441441,Big Bitoque Gourmet,Lisbon,Unknown,1.0,3.0,21.0,3570.0,0.28844811018830857,71.93915752520559,97.65516301344215
d9568114,Patio das Cantigas,Lisbon,Bar,1.0,2.5,17.0,3571.0,0.2419602413208469,71.93915752520559,97.65516301344215
d10072605,Nanda Brigadeiros e Coxinhas Gourmet,Lisbon,Unknown,1.0,4.5,2.0,3572.0,0.31170905337449695,71.93915752520559,97.65516301344215
d4232475,Caminho Da Ronda,Lisbon,Mediterranean,1.0,3.0,129.0,3573.0,0.3680153888015822,71.93915752520559,97.65516301344215
d11965870,Al Paxa,Lisbon,Unknown,1.0,3.0,4.0,3574.0,0.22208838935369166,71.93915752520559,97.65516301344215
d2616609,Papagayo,Lisbon,Unknown,1.0,2.5,5.0,3575.0,0.19275437111738639,71.93915752520559,97.65516301344215
d12910025,Cup & Cino,Lisbon,Unknown,1.0,2.5,2.0,3576.0,0.16170895940451538,71.93915752520559,97.65516301344215
d3539598,A Parreirinha da Centieira,Lisbon,European,1.0,3.0,19.0,3577.0,0.2841790954155156,71.93915752520559,97.65516301344215
d4085473,Tapas Bar 28,Lisbon,Bar,1.0,2.5,229.0,3578.0,0.3560694208827713,71.93915752520559,97.65516301344215
d5959842,Tasca da Armada,Lisbon,Unknown,1.0,3.0,7.0,3579.0,0.2431392776042701,71.93915752520559,97.65516301344215
